school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm1,38,33,0,37,31,0.54411764705882348,4.5675675675675675,4.193548387096774,12,10,0.60355029585798814,0.57692307692307698,0.60355029585798814,0.61433086559648731,0.57692307692307698,0.57692307692307698,0.04153627563515581,0.0,0.2733844413734752,0.7952868556430917,0.026155432981717075,2.057580178910008e-08
comm10,353,328,4,332,291,0.5329052969502408,5.3795180722891569,5.0240549828178693,21,19,0.6836506159014557,0.51983584131326954,0.68365061590144272,0.70679227539687262,0.51983584131318017,0.56262900729209853,0.10624933414800519,0.16218474409725936,4.972457022800469e-07,7.202094476355114e-11,0.12033991285430752,0.1730877465254157
comm11,220,204,2,202,178,0.53157894736842104,4.717821782178218,5.0393258426966296,23,21,0.61909758656873026,0.51950947603121511,0.61909758656873048,0.63425313550642182,0.51950947603121245,0.53226327253191252,0.05787545069798584,0.055488045906219655,0.0217581730514137,0.02083117837055881,0.06888798569845941,0.05619739249348635
comm12,276,309,1,270,276,0.49450549450549453,6.3703703703703702,6.1086956521739131,30,24,0.57093023255813957,0.5658362989323843,0.57093023255813935,0.59699381452525024,0.56583629884366615,0.59315699773927544,0.10405957731365754,0.1306008454202943,2.8499571480544716e-08,2.6785684781316377e-10,0.10428823967777161,0.12803034879805966
comm13,354,328,7,333,284,0.53970826580226905,4.6486486486486482,4.419014084507042,16,17,0.67118863049095612,0.55458167330677288,0.67118863049095456,0.6820977000451679,0.55458167328834596,0.58114580441114194,0.0409113079822569,0.13353066961783994,0.02898391638343889,7.6110960762765245e-06,0.06528461920230337,0.1299389447752317
comm14,283,283,3,270,266,0.50373134328358204,6.2333333333333334,5.7368421052631575,32,21,0.58407605466429002,0.5629095674967235,0.58407605466429002,0.6066680141604156,0.56290956749672338,0.59692494861166623,0.062267351522467415,0.12687514270915565,0.00017248512813716754,3.154824956830282e-09,0.07106432363278548,0.13696952859562322
comm15,533,549,7,506,491,0.50752256770310933,5.3221343873517784,4.9368635437881876,24,23,0.6479762346825102,0.53836633663366329,0.64797623468250964,0.65754186196643916,0.53836633663214128,0.56228551781449776,0.040077783750401406,0.10454370990126925,0.003698968285467452,1.3709394952599041e-08,0.05341981630324223,0.10406859001063073
comm16,380,406,9,366,368,0.49863760217983649,5.557377049180328,5.1385869565217392,21,18,0.571779744346116,0.54680063458487571,0.571779744346116,0.58171912348516808,0.54680063456088723,0.57277875647725252,0.03253110721165632,0.1130258111472597,0.027440500099837783,6.291770215938186e-08,0.03693733459577042,0.11441601637134838
comm17,649,591,6,616,542,0.53195164075993095,5.4009740259740262,5.317343173431734,27,31,0.63600841599038171,0.50867453157529496,0.63600841599038094,0.64800973855566657,0.50867453157529441,0.53739004705470339,0.05120232635495932,0.09549783908189569,0.00010350950419490967,1.5565444488885305e-09,0.0632407987610552,0.09423336085950725
comm18,137,151,2,134,140,0.48905109489051096,5.4328358208955221,5.0642857142857141,19,15,0.52884615384615385,0.57686882933709449,0.52884615384161227,0.54411607440566989,0.57686882932824501,0.59196982196849834,0.06325770350620522,0.1390353570310446,0.018494981740532768,6.316966706376714e-05,0.056314584308122334,0.12839466490988574
comm19,239,255,1,229,235,0.49353448275862066,5.9475982532751095,5.0638297872340425,18,19,0.58663729809104248,0.55462184873949583,0.58663729809104259,0.60127878710574045,0.55462184862790653,0.57242415240294553,0.06043911385304989,0.1111321349954769,0.0027614272274305574,4.369942832738172e-05,0.05759663160690862,0.0980833825810361
comm2,44,65,0,40,59,0.40404040404040403,5.4749999999999996,3.6440677966101696,18,12,0.51141552511415522,0.68837209302325575,0.51141552511414945,0.52461504775265078,0.68837209302325564,0.69005868345600951,0.06147401116112379,0.050320654921579465,0.18222700201509234,0.2701590548688614,3.3938778090684615e-06,0.0014001946526872749
comm20,464,454,5,439,419,0.5116550116550117,6.1184510250569479,5.5799522673031028,22,17,0.61206254653760228,0.57271171941830623,0.61206254653760217,0.63868751447841055,0.57271171935607079,0.59207102745668727,0.08633715170209431,0.11867492831378727,5.208297126912953e-10,2.471023385908211e-12,0.10491229259285485,0.12981272798503565
comm21,201,177,2,192,164,0.5393258426966292,5.427083333333333,5.5182926829268295,18,17,0.64779270633397312,0.57679558011049725,0.64779270633397312,0.67488727868756482,0.57679558011049714,0.59854212260869988,0.08670540168754307,0.12521282355862834,5.713199676493641e-05,3.753682486951071e-06,0.1128629189773446,0.13551525346900825
comm22,290,330,6,278,298,0.4826388888888889,5.2949640287769784,4.9798657718120802,26,26,0.60529891304347827,0.64218328840970351,0.60529891304347805,0.63031593902670968,0.64218328840970362,0.67169707772761145,0.07589748422808777,0.13022256402824936,0.00014585179285897532,7.554658354447241e-08,0.09407923125417347,0.14787899910829613
comm23,309,369,1,302,337,0.47261345852895148,6.2086092715231791,5.2106824925816024,21,22,0.5696,0.57289293849658307,0.56959999999999977,0.59745070296342195,0.57289293847621392,0.6006471352681394,0.09699192414809961,0.12915775288964607,9.750884444326147e-08,3.7001238295530925e-08,0.10039798631827956,0.11602312406664969
comm24,450,423,3,420,364,0.5357142857142857,4.3952380952380956,4.4725274725274726,16,17,0.62296858071505956,0.55712530712530717,0.62296858071505934,0.63537500815532189,0.55712530706809482,0.59642357138094393,0.045885075513411255,0.13046251021510208,0.012540592985823107,6.640256711154535e-08,0.06717246120313498,0.14701763914285332
comm25,418,408,2,392,360,0.52127659574468088,3.9744897959183674,4.052777777777778,16,18,0.61039794608472397,0.55448937628512673,0.61039794608472375,0.64075380058232345,0.55448937626746886,0.57696188502893564,0.1382078919175078,0.13579703885600358,1.569004047796696e-07,1.90711921432829e-06,0.15399721263996957,0.1326284872914787
comm26,299,260,4,281,242,0.5372848948374761,4.7046263345195731,4.9132231404958677,23,19,0.6202723146747352,0.57527333894028598,0.62027231467473587,0.63399900648573759,0.57527333873419162,0.61005083974570384,0.05932424938048203,0.13228525383756312,0.004842632202619268,7.853285197700899e-07,0.07968658856190505,0.14288897375177775
comm27,2,1225,2,2,1034,0.0019305019305019305,2.0,2.888781431334623,2,14,0.0,0.99966521593572144,4.1621830606357365e-11,4.1621830606357365e-11,0.99966521593571811,0.99966521593571811,0.0,0.0,nan,0.7972369078633122,0.4008223949920483,2.724907793186907e-07
