school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm1,38,33,0,37,32,0.53623188405797106,6.4054054054054053,6.34375,14,12,0.59071729957805907,0.52216748768472909,0.59071729957805907,0.61098574545782924,0.52216748768406596,0.52216748768406596,0.09038345586854381,0.0,0.04956528267188598,0.9614720949398214,0.07241044267449248,1.8152155696822317e-08
comm10,353,328,4,348,326,0.51632047477744802,8.6522988505747129,7.794478527607362,24,26,0.61707074061773504,0.54624163715072804,0.61707074061773481,0.62321582217657689,0.54624163715072804,0.57461554094593148,0.017886632075974917,0.0925479507588202,0.05204328888232068,5.687871285076085e-10,0.015289268985315964,0.08552106562961123
comm11,220,204,2,215,194,0.52567237163814184,7.6186046511627907,7.8247422680412368,25,22,0.57264957264957261,0.53886693017127807,0.57264957264957272,0.58068060880500849,0.53886693016329013,0.54488386325937888,0.0251133634103377,0.026088370957612104,0.06175767566075152,0.05793596708136284,0.018500685789717274,0.01742832827263996
comm12,276,309,1,275,305,0.47413793103448276,9.8872727272727268,9.4459016393442621,30,29,0.51857300478116952,0.5456438736549809,0.51857300478101787,0.52055456846409998,0.54564387364019451,0.54847424494599895,0.006413228645101295,0.010387994205667925,0.24425573776834542,0.1483505729118263,0.006985357456987842,0.007831045181131984
comm13,354,328,7,342,303,0.53023255813953485,7.3508771929824563,7.0165016501650168,22,20,0.62609387430389818,0.55785512699905926,0.62609387430389785,0.64077694390821605,0.55785512699905926,0.57477445234692826,0.04835273963909205,0.08057016804925612,0.0004155866251498441,9.067976178944726e-06,0.04723784909101412,0.05478430615244538
comm14,283,283,3,280,279,0.50089445438282643,9.6821428571428569,9.4014336917562726,34,27,0.54666174843231274,0.53145253526496383,0.54666174843231274,0.55126803889979425,0.53145253525265035,0.53709234567444819,0.011710904273557513,0.021378482251657116,0.1242520315477782,0.029713684598484114,0.00903979045091642,0.014345751319231829
comm15,533,549,7,527,528,0.4995260663507109,8.6717267552182165,7.8712121212121211,29,26,0.59387308533916849,0.55341674687199238,0.59387308533916849,0.59387308533916849,0.55341674678070507,0.56334730066565653,0.0,0.0378248031301239,0.5565314701700976,0.00021442719354358708,1.7949084955594487e-07,0.02642612132849218
comm16,380,406,9,378,390,0.4921875,9.0661375661375665,8.7153846153846146,24,22,0.54216515903122264,0.53839364518976174,0.54216515902205309,0.54216515902205309,0.53839364517327248,0.54729103282530944,0.0,0.036852167139413194,0.9724910617169336,0.00048695395508835393,1.9038466269309372e-08,0.02533101021606172
comm17,649,591,6,641,571,0.52887788778877887,8.8876755070202815,8.5691768826619956,29,33,0.57925223802001047,0.51011649294911099,0.57925223802001047,0.57950037436746737,0.51011649294908279,0.51904146985894573,0.0009356531794932891,0.026806318129020887,0.4440261122431126,0.0011566082691966129,5.0168072173864285e-08,0.02023841780610374
comm18,137,151,2,135,147,0.47872340425531917,8.2888888888888896,8.3197278911564627,22,19,0.50759606791778367,0.54946852003270641,0.50759606791778211,0.50982510992695074,0.54946852003020208,0.5497641838747489,0.008165545000347744,0.002058888953485378,0.29801752742933096,0.43868121475860855,0.009066152009472623,5.23736679516754e-08
comm19,239,255,1,238,253,0.48472505091649692,9.0294117647058822,7.9723320158102764,22,21,0.55653792461610052,0.52751611303916701,0.55653792458731899,0.55888902175712618,0.52751611303642409,0.53092647204709409,0.008398750902962441,0.018538954124341672,0.23807796433819994,0.0876978476344813,0.004406423231287641,0.012862455551407002
comm2,44,65,0,42,61,0.40776699029126212,7.7380952380952381,6.081967213114754,20,14,0.54153846153846152,0.59838274932614555,0.54153846153843632,0.54506385340029984,0.59838274932614555,0.59808561724226317,0.01017849480614299,0.021777253038707364,0.367350400583216,0.3046689466208945,2.030066669398173e-07,3.869000734656788e-09
comm20,464,454,5,461,444,0.50939226519337022,9.0195227765726678,8.8693693693693696,26,22,0.58152958152958156,0.55815134586084303,0.58152958152958178,0.59217588428801282,0.55815134586084314,0.57060016750507259,0.031276691278416695,0.04745952235109348,0.00020756510649044824,3.540665671875054e-06,0.03350720372077517,0.03712434646008258
comm21,201,177,2,200,175,0.53333333333333333,7.9749999999999996,8.3028571428571425,23,20,0.60062695924764897,0.56159669649002064,0.60062695924764908,0.61589568785551352,0.56159669649002064,0.57316986507459022,0.04170774043656917,0.04653357823128911,0.001667529737335749,0.003863757465477069,0.05271438077202237,0.03753856936218469
