school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro
USFCA72,0.5,0.5822704344734595,0.011846090168260031,0.77391348810354488,0.0163297969038423,0.5822704344734595,0.011846090168260031,0.77391348810354488,0.0163297969038423
American75,0.5,0.56568983051701383,0.0076530646300186278,0.77181379217779889,0.012672861020952948,0.56568983051701383,0.0076530646300186278,0.77181379217779889,0.012672861020952948
USF51,0.5,0.46318834895672778,0.0053871372952021251,0.81614807990585003,0.0053799375164573851,0.46318834895672778,0.0053871372952021251,0.81614807990585003,0.0053799375164573851
Tulane29,0.5,0.64537683452139871,0.0065589957584480142,0.79306722480033576,0.011701439502247191,0.64537683452139871,0.0065589957584480142,0.79306722480033576,0.011701439502247191
BC17,0.5,0.60831630435903428,0.0062657241666730784,0.83673701494895525,0.010776898861405216,0.60831630435903428,0.0062657241666730784,0.83673701494895525,0.010776898861405216
Texas84,0.5,0.61502446650351539,0.003224870999176527,0.78422311366331099,0.0047346396835350147,0.61502446650351539,0.003224870999176527,0.78422311366331099,0.0047346396835350147
Middlebury45,0.5,0.62127109678349035,0.010761849965468953,0.74067072995698158,0.023439668155805584,0.62127109678349035,0.010761849965468953,0.74067072995698158,0.023439668155805584
Vanderbilt48,0.5,0.76849875803957635,0.0064445182037995994,0.83775633243055703,0.01281276569155824,0.76849875803957635,0.0064445182037995994,0.83775633243055703,0.01281276569155824
Syracuse56,0.5,0.61704563998885997,0.0047092853231856793,0.79142948740576724,0.008488505770636012,0.61704563998885997,0.0047092853231856793,0.79142948740576724,0.008488505770636012
Yale4,0.5,0.611994712554497,0.006429033830899265,0.74965117069671683,0.012223317337820786,0.611994712554497,0.006429033830899265,0.74965117069671683,0.012223317337820786
Indiana69,0.5,0.5634780614850301,0.0031840888705896744,0.83932562144417167,0.0045128539094187554,0.5634780614850301,0.0031840888705896744,0.83932562144417167,0.0045128539094187554
Amherst41,0.5,0.64826438994201407,0.01013534558983073,0.74903700358052594,0.028419606944830273,0.64826438994201407,0.01013534558983073,0.74903700358052594,0.028419606944830273
Caltech36,0.5,0.62397387275535066,0.022891786843475825,0.67560403971546601,0.03254511879490183,0.62397387275535066,0.022891786843475825,0.67560403971546601,0.03254511879490183
Smith60,0.5,0.71795817068750001,0.061436933196232821,0.76768173576744603,0.065249045698718353,0.71795817068750001,0.061436933196232821,0.76768173576744603,0.065249045698718353
UC33,0.5,0.58764007428482623,0.0046236138538732078,0.75372746698779991,0.0076718904759831251,0.58764007428482623,0.0046236138538732078,0.75372746698779991,0.0076718904759831251
Michigan23,0.5,0.67109580370248889,0.0031401675489117114,0.80669866656742883,0.0051166418477660951,0.67109580370248889,0.0031401675489117114,0.80669866656742883,0.0051166418477660951
UCLA26,0.5,0.59317808549371609,0.0042190639750539476,0.76190482268252646,0.0068129574436140298,0.59317808549371609,0.0042190639750539476,0.76190482268252646,0.0068129574436140298
Haverford76,0.5,0.69038361991707797,0.014722551450266515,0.73127455680378373,0.032969495283352392,0.69038361991707797,0.014722551450266515,0.73127455680378373,0.032969495283352392
Mich67,0.5,0.65027513641075918,0.010106198636447692,0.79751229517838129,0.013608596124438368,0.65027513641075918,0.010106198636447692,0.79751229517838129,0.013608596124438368
Tennessee95,0.5,0.61736537517920009,0.0049947505475524644,0.80541374178170333,0.0088444925595035345,0.61736537517920009,0.0049947505475524644,0.80541374178170333,0.0088444925595035345
UPenn7,0.5,0.67176781296609478,0.0048510617489191041,0.786747609404013,0.012416386028150754,0.67176781296609478,0.0048510617489191041,0.786747609404013,0.012416386028150754
Vermont70,0.5,0.56171647283500015,0.0070825477924735449,0.77679981654223396,0.010130788127032754,0.56171647283500015,0.0070825477924735449,0.77679981654223396,0.010130788127032754
UConn91,0.5,0.59067606856010679,0.0044121467119296763,0.82100202878305462,0.0061308992240008912,0.59067606856010679,0.0044121467119296763,0.82100202878305462,0.0061308992240008912
UCF52,0.5,0.54624580371770892,0.0048290934657408925,0.76667886048781075,0.008494657888471209,0.54624580371770892,0.0048290934657408925,0.76667886048781075,0.008494657888471209
UF21,0.5,0.63411618718205198,0.0038522044156797403,0.78253174303302264,0.0047266210301169058,0.63411618718205198,0.0038522044156797403,0.78253174303302264,0.0047266210301169058
UC64,0.5,0.5084561236254902,0.0083550572802957961,0.72961615214900311,0.009205369614893353,0.5084561236254902,0.0083550572802957961,0.72961615214900311,0.009205369614893353
Princeton12,0.5,0.67586500449607878,0.0078572587495676222,0.78148982748617013,0.013481448369701696,0.67586500449607878,0.0078572587495676222,0.78148982748617013,0.013481448369701696
Oklahoma97,0.5,0.65880129375300289,0.0041701987727020507,0.78778107636881467,0.0096686937684363657,0.65880129375300289,0.0041701987727020507,0.78778107636881467,0.0096686937684363657
Wesleyan43,0.5,0.58240325261324111,0.010579703236884484,0.72712427413382552,0.018891731135766286,0.58240325261324111,0.010579703236884484,0.72712427413382552,0.018891731135766286
Columbia2,0.5,0.68147147479075187,0.0049160458769795376,0.79322163465218143,0.0073359403478156305,0.68147147479075187,0.0049160458769795376,0.79322163465218143,0.0073359403478156305
Howard90,0.5,0.40270212835073138,0.0081474854522088167,0.89311543053189635,0.010101626313948939,0.40270212835073138,0.0081474854522088167,0.89311543053189635,0.010101626313948939
Santa74,0.5,0.57918509369484206,0.0097537291939691316,0.79895222812402633,0.018946899151345991,0.57918509369484206,0.0097537291939691316,0.79895222812402633,0.018946899151345991
UMass92,0.5,0.50163000324829565,0.0047837966344042001,0.81908176028854629,0.0066105254663001529,0.50163000324829565,0.0047837966344042001,0.81908176028854629,0.0066105254663001529
Trinity100,0.5,0.63282951776827723,0.0091504691015536922,0.77943351209498968,0.027708086464764903,0.63282951776827723,0.0091504691015536922,0.77943351209498968,0.027708086464764903
Tufts18,0.5,0.6498609117721621,0.0081243450662120738,0.76092987316051808,0.01314940884585109,0.6498609117721621,0.0081243450662120738,0.76092987316051808,0.01314940884585109
Carnegie49,0.5,0.7087662455763315,0.0065005131851221159,0.7922271113238295,0.013934369255853415,0.7087662455763315,0.0065005131851221159,0.7922271113238295,0.013934369255853415
