school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro,1_MV_gender_mean_accuracy,1_MV_gender_se_accuracy,2_MV_gender_mean_accuracy,2_MV_gender_se_accuracy
USFCA72,0.5,0.5815198013389602,0.014143221612137843,0.77391348810354488,0.0163297969038423,0.5815198013389602,0.014143221612137843,0.77391348810354488,0.0163297969038423,0.5394884092725819,0.0097012862980683581,0.65900879296562753,0.036832426359769445
American75,0.5,0.56356884641778959,0.0054508441055446605,0.77181379217779889,0.012672861020952948,0.56356884641778959,0.0054508441055446605,0.77181379217779889,0.012672861020952948,0.5338785046728971,0.006113249050544718,0.60030040053404532,0.033705815176034069
USF51,0.5,0.46168818644828297,0.003983049008622121,0.81614807990585003,0.0053799375164573851,0.46168818644828297,0.003983049008622121,0.81614807990585003,0.0053799375164573851,0.46475409836065573,0.0035128343700338272,0.75459646910466605,0.0066110288760432168
Tulane29,0.5,0.64301591306650741,0.0071111466317063743,0.79306722480033576,0.011701439502247191,0.64301591306650741,0.0071111466317063743,0.79306722480033576,0.011701439502247191,0.60565144766146994,0.0071023836284090638,0.64986358574610248,0.013758401184161252
BC17,0.5,0.60895836202301767,0.0081589093151809636,0.83673701494895525,0.010776898861405216,0.60895836202301767,0.0081589093151809636,0.83673701494895525,0.010776898861405216,0.57385364027699792,0.0074005224384585868,0.76855324723937868,0.012671593641200209
Texas84,0.5,0.61380390742773083,0.0039026494212385187,0.78422311366331099,0.0047346396835350147,0.61380390742773083,0.0039026494212385187,0.78422311366331099,0.0047346396835350147,0.57977221221453901,0.0022318823063030972,0.66179092335405898,0.0095604126998423654
Middlebury45,0.5,0.61930701919444042,0.010886470120828275,0.74067072995698158,0.023439668155805584,0.61930701919444042,0.010886470120828275,0.74067072995698158,0.023439668155805584,0.58633762517882693,0.011719043723972027,0.67951359084406293,0.023327126743128205
Vanderbilt48,0.5,0.77040139712428846,0.0065344247950742543,0.83775633243055703,0.01281276569155824,0.77040139712428846,0.0065344247950742543,0.83775633243055703,0.01281276569155824,0.70580140313005935,0.008569514537738257,0.62852941176470578,0.017737967674667596
Syracuse56,0.5,0.61796058234412365,0.0061777160393330652,0.79142948740576724,0.008488505770636012,0.61796058234412365,0.0061777160393330652,0.79142948740576724,0.008488505770636012,0.58252442483454137,0.0048941335057600018,0.68338480932871104,0.011818912062265411
Yale4,0.5,0.61290968104903476,0.0069289846683240636,0.74965117069671683,0.012223317337820786,0.61290968104903476,0.0069289846683240636,0.74965117069671683,0.012223317337820786,0.57665349143610001,0.0060079051383399125,0.68218972332015815,0.017354858405584726
