school,k_hop,auc_in_khop_neighborhood,count_0_friends_khop_class1,count_0_friends_khop_class2
USFCA72,1,0.59680750636915603,0,0
USFCA72,2,0.79103854621999026,0,0
USFCA72,3,0.56592406265666373,0,0
USFCA72,4,0.64332213417297712,0,0
USFCA72,5,0.55114710771422792,0,0
American75,1,0.57466983602375943,0,0
American75,2,0.79795177466418488,0,0
American75,3,0.56451324047768292,0,0
American75,4,0.62311419772640164,0,0
American75,5,0.53693290847148245,0,0
USF51,1,0.46167246795555472,0,0
USF51,2,0.82763080073606021,0,0
USF51,3,0.36617304255616645,0,0
USF51,4,0.75759702636528892,0,0
USF51,5,0.34900848224810704,0,0
Tulane29,1,0.66211880504646747,0,0
Tulane29,2,0.80240671629176086,0,0
Tulane29,3,0.61746861657219698,0,0
Tulane29,4,0.62325718326696966,0,0
Tulane29,5,0.57477288541474714,0,0
BC17,1,0.62476754083818942,0,0
BC17,2,0.86030147703002036,0,0
BC17,3,0.56197625104591686,0,0
BC17,4,0.68000284509074638,0,0
BC17,5,0.54266624281911469,0,0
Texas84,1,0.62817173646218027,0,0
Texas84,2,0.79154616765639274,0,0
Texas84,3,0.57515660794068535,0,0
Texas84,4,0.61361939700382773,0,0
Texas84,5,0.5529897323287235,0,0
Middlebury45,1,0.63694726003748647,0,0
Middlebury45,2,0.7574659457104338,0,0
Middlebury45,3,0.58747965374371114,0,0
Middlebury45,4,0.58225796175725886,0,0
Middlebury45,5,0.5518392810167374,0,0
Vanderbilt48,1,0.78945912191274781,0,0
Vanderbilt48,2,0.84951588198466732,0,0
Vanderbilt48,3,0.67887808112719217,0,0
Vanderbilt48,4,0.62179943471804222,0,0
Vanderbilt48,5,0.5737201712850124,0,0
Syracuse56,1,0.62978879988400083,0,0
Syracuse56,2,0.80335193146984429,0,0
Syracuse56,3,0.54241321645809215,0,0
Syracuse56,4,0.57558853611671013,0,0
Syracuse56,5,0.50287285575795837,0,0
Yale4,1,0.62629088531068144,0,0
Yale4,2,0.76966369951405478,0,0
Yale4,3,0.58882183518215125,0,0
Yale4,4,0.59304037484216354,0,0
Yale4,5,0.5508264894027779,0,0
Indiana69,1,0.57157812372261807,0,0
Indiana69,2,0.84852325447406729,0,0
Indiana69,3,0.49315666591725171,0,0
Indiana69,4,0.73813929727055139,0,0
Indiana69,5,0.48290962927432224,0,0
Amherst41,1,0.66696940194041199,0,0
Amherst41,2,0.76116415033107132,0,0
Amherst41,3,0.60654973819453528,0,0
Amherst41,4,0.59165225646763642,0,0
Amherst41,5,0.55451608371962358,0,0
Caltech36,1,0.64921507503919962,0,0
Caltech36,2,0.6763094526991712,0,0
Caltech36,3,0.56976592249682678,0,0
Caltech36,4,0.51619316060628695,0,0
Caltech36,5,0.42021018442469948,0,0
Smith60,1,0.75795653790978157,0,0
Smith60,2,0.80772806970936717,0,0
Smith60,3,0.75826204771266137,0,0
Smith60,4,0.69164762764996546,0,0
Smith60,5,0.56064369587163276,0,0
UC33,1,0.60382468110583343,0,0
UC33,2,0.77380776603469381,0,0
UC33,3,0.55991460276409222,0,0
UC33,4,0.62360408109147281,0,0
UC33,5,0.54197129378478059,0,0
Michigan23,1,0.69255690456611352,0,0
Michigan23,2,0.81740195259620241,0,0
Michigan23,3,0.63716925202161645,0,0
Michigan23,4,0.65039320255954269,0,0
Michigan23,5,0.58003596946351077,0,0
UCLA26,1,0.60879266461506487,0,0
UCLA26,2,0.77822580405422459,0,0
UCLA26,3,0.57419444910431161,0,0
UCLA26,4,0.61981426346496293,0,0
UCLA26,5,0.53327726324104541,0,0
Haverford76,1,0.72115894742426656,0,0
Haverford76,2,0.74992815710824634,0,0
Haverford76,3,0.61200085769360002,0,0
Haverford76,4,0.54114608202026626,0,0
Haverford76,5,0.42561497515341218,0,0
Mich67,1,0.67571395093662856,0,0
Mich67,2,0.81100046423658168,0,0
Mich67,3,0.63320088897055637,0,0
Mich67,4,0.65833442275803478,0,0
Mich67,5,0.59108791232363966,0,0
Tennessee95,1,0.63093875469984473,0,0
Tennessee95,2,0.8142646562836916,0,0
Tennessee95,3,0.54499652465709225,0,0
Tennessee95,4,0.61094672225110003,0,0
Tennessee95,5,0.51993341268252258,0,0
UPenn7,1,0.6900761728321001,0,0
UPenn7,2,0.79764356530648617,0,0
UPenn7,3,0.63938038577270273,0,0
UPenn7,4,0.62116098569497868,0,0
UPenn7,5,0.57284116785769956,0,0
Vermont70,1,0.57588945375140743,0,0
Vermont70,2,0.79620635299737286,0,0
Vermont70,3,0.52740195844279913,0,0
Vermont70,4,0.62822573271008908,0,0
Vermont70,5,0.51747649754910319,0,0
UConn91,1,0.60539780609832883,0,0
UConn91,2,0.83779470991932981,0,0
UConn91,3,0.54241993872638761,0,0
UConn91,4,0.68617359999647187,0,0
